algo_name,cnf,graph,result,max_memory_kb,time_ms
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,907292,6124
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,929836,5837
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,902896,6107
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,898368,5826
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,910740,5924
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,907840,5757
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,899256,5645
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,917816,5948
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,910136,5648
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/init.g",3783769,901668,5509
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21160,180
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21176,180
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21168,185
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21144,184
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21140,186
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21160,183
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21160,179
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21132,180
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21156,181
"CFL_adv","data/grammars/java_points_to.cnf","data/graphs/java/lusearch.g",9242,21140,183
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55160,32
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55156,41
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55156,50
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55164,38
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55164,34
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55168,46
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55164,46
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55168,76
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55164,36
"CFL_adv","data/grammars/nested_parentheses_subClassOf_type.cnf","data/graphs/rdf/go_hierarchy.g",588976,55164,86
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,271708,2498
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,235884,2588
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,288404,2591
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,245148,2794
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,236276,2657
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,236272,2572
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,236260,2507
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,271528,2657
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,233444,2587
"CFL_adv","data/grammars/aa.cnf","data/graphs/aa/x264.g",5246565,226572,2535
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,24036,136
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,24036,137
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,24036,140
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,23968,139
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,23968,140
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,24020,140
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,23968,139
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,24140,138
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,23968,140
"CFL_adv","data/grammars/vf.cnf","data/graphs/vf/xz.g",358834,24036,139
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/mm.g",3990305,944540,5865
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/mm.g",3990305,951300,6207
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/mm.g",3990305,947212,6190
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/mm.g",3990305,948088,5755
"CFL_adv","data/grammars/c_alias.cnf","data/graphs/c_alias/mm.g",3990305,950628,6079
